id,shares,source,sedol,name,as_of_date,currency,country,adr,adr_price,adr_turnover,turnover_usd,exchange,ratio,price_usd
000001 CH Equity,422400.0,ETF,6802006,Ping An Bank Co Ltd,2025-09-25,CNY,CHINA,,,,228177149.85074627,XSHE,,1.59778
000002 CH Equity,258396.0,ETF,6803708,China Vanke Co Ltd,2025-09-25,CNY,CHINA,,,,145842281.9402985,XSHE,,0.95306
000100 KS Equity,15667.0,ETF,6988337,Yuhan Corp,2025-09-25,KRW,SOUTH KOREA,,,,39025092.42424242,XKRX,,83.74318
000150 KS Equity,1888.0,ETF,6661111,Doosan Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,64460618.63636363,XKRX,,403.81246
000157 CH Equity,402000.0,ETF,6289977,Zoomlion Heavy Industry Scienc,2025-09-25,CNY,CHINA,,,,90973583.73134328,XSHE,,1.08481
000166 CH Equity,992700.0,ETF,BVHFB90,Shenwan Hongyuan Group Co Ltd,2025-09-25,CNY,CHINA,,,,82230109.40298508,XSHE,,0.72461
000270 KS Equity,63071.0,ETF,6490928,Kia Corp,2025-09-25,KRW,SOUTH KOREA,,,,70283328.93939394,XKRX,,72.38817
000333 CH Equity,84900.0,ETF,BDVHRJ8,Midea Group Co Ltd,2025-09-25,CNY,CHINA,,,,377747698.5074627,XSHE,,10.20897
000425 CH Equity,448500.0,ETF,6984249,XCMG Construction Machinery Co,2025-09-25,CNY,CHINA,,,,125419363.28358209,XSHE,,1.45202
000538 CH Equity,82500.0,ETF,6984045,Yunnan Baiyao Group Co Ltd,2025-09-25,CNY,CHINA,,,,85085997.91044776,XSHE,,8.02814
000568 CH Equity,35100.0,ETF,6517485,Luzhou Laojiao Co Ltd,2025-09-25,CNY,CHINA,,,,189449667.91044775,XSHE,,18.14461
000596 CH Equity,16300.0,ETF,6048015,Anhui Gujing Distillery Co Ltd,2025-09-25,CNY,CHINA,,,,74646775.6716418,XSHE,,21.71859
000625 CH Equity,136000.0,ETF,6193948,Chongqing Changan Automobile C,2025-09-25,CNY,CHINA,,,,171367950.0,XSHE,,1.69309
000651 CH Equity,92300.0,ETF,6990257,Gree Electric Appliances Inc o,2025-09-25,CNY,CHINA,,,,294740661.19402987,XSHE,,5.53617
000660 KS Equity,136843.0,ETF,6450267,SK Hynix Inc,2025-09-25,KRW,SOUTH KOREA,,,,724051500.0,XKRX,,253.00376
000725 CH Equity,742500.0,ETF,6314697,BOE Technology Group Co Ltd,2025-09-25,CNY,CHINA,,,,297413364.1791045,XSHE,,0.58445
000792 CH Equity,160500.0,ETF,6110107,Qinghai Salt Lake Industry Co,2025-09-25,CNY,CHINA,,,,174741646.41791046,XSHE,,2.74566
000810 KS Equity,7662.0,ETF,6155250,Samsung Fire & Marine Insuranc,2025-09-25,KRW,SOUTH KOREA,,,,34386003.63636363,XKRX,,319.35959
000858 CH Equity,83300.0,ETF,6109901,Wuliangye Yibin Co Ltd,2025-09-25,CNY,CHINA,,,,374544735.8208955,XSHE,,17.03177
000876 CH Equity,257500.0,ETF,6037596,New Hope Liuhe Co Ltd,2025-09-25,CNY,CHINA,,,,56996165.97014926,XSHE,,1.37073
000895 CH Equity,92100.0,ETF,6128780,Henan Shuanghui Investment & D,2025-09-25,CNY,CHINA,,,,35165159.55223881,XSHE,,3.46045
001979 CH Equity,137000.0,ETF,BYY36X7,China Merchants Shekou Industr,2025-09-25,CNY,CHINA,,,,84090415.07462686,XSHE,,1.3427
002001 CH Equity,108200.0,ETF,B01KBG1,Zhejiang NHU Co Ltd,2025-09-25,CNY,CHINA,,,,92999697.1641791,XSHE,,3.3217
002142 CH Equity,102800.0,ETF,B232Y04,Bank of Ningbo Co Ltd,2025-09-25,CNY,CHINA,,,,137870519.5522388,XSHE,,3.69592
002230 CH Equity,68700.0,ETF,B2R0YF9,Iflytek Co Ltd,2025-09-25,CNY,CHINA,,,,361254469.5522388,XSHE,,7.87257
002304 CH Equity,27500.0,ETF,B55JM22,Jiangsu Yanghe Distillery Co L,2025-09-25,CNY,CHINA,,,,63772944.47761194,XSHE,,9.57967
002311 CH Equity,69500.0,ETF,B597PH8,Guangdong Haid Group Co Ltd,2025-09-25,CNY,CHINA,,,,66360869.85074627,XSHE,,8.68968
002352 CH Equity,105100.0,ETF,B3P1NF4,SF Holding Co Ltd,2025-09-25,CNY,CHINA,,,,186244064.92537314,XSHE,,5.61746
002371 CH Equity,17415.0,ETF,B66DNR2,NAURA Technology Group Co Ltd,2025-09-25,CNY,CHINA,,,,454451794.0298507,XSHE,,63.58183
002422 CH Equity,45900.0,ETF,B3YB7P3,Sichuan Kelun Pharmaceutical C,2025-09-25,CNY,CHINA,,,,89433101.04477613,XSHE,,5.26847
002460 CH Equity,29500.0,ETF,B41CNM5,Ganfeng Lithium Group Co Ltd,2025-09-25,CNY,CHINA,,,,366423897.6119403,XSHE,,7.8109
002475 CH Equity,151340.0,ETF,B64QPN3,Luxshare Precision Industry Co,2025-09-25,CNY,CHINA,,,,1005666331.3432835,XSHE,,9.63433
002493 CH Equity,207500.0,ETF,B4TPTS4,Rongsheng Petrochemical Co Ltd,2025-09-25,CNY,CHINA,,,,37966495.07462686,XSHE,,1.32027
002594 CH Equity,123000.0,ETF,B466322,BYD Co Ltd,2025-09-25,CNY,CHINA,,,,805115892.5373135,XSHE,,15.06678
002653 CH Equity,14700.0,ETF,B5V7SQ6,Haisco Pharmaceutical Group Co,2025-09-25,CNY,CHINA,,,,32276791.58208955,XSHE,,7.75063
002714 CH Equity,94612.0,ETF,BJ0JR20,Muyuan Foods Co Ltd,2025-09-25,CNY,CHINA,,,,304691764.1791045,XSHE,,7.40585
002938 CH Equity,53200.0,ETF,BFXR916,Avary Holding Shenzhen Co Ltd,2025-09-25,CNY,CHINA,,,,306174397.46268654,XSHE,,8.33929
003230 KS Equity,1055.0,ETF,6771838,Samyang Foods Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,44826457.27272727,XKRX,,1033.30569
003490 KS Equity,35198.0,ETF,6496766,Korean Air Lines Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,27522152.196969695,XKRX,,16.25185
003550 KS Equity,24649.0,ETF,6537030,LG Corp,2025-09-25,KRW,SOUTH KOREA,,,,14627142.984848484,XKRX,,52.87175
003670 KS Equity,8992.0,ETF,6419451,POSCO Future M Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,43212637.878787875,XKRX,,103.54348
005380 KS Equity,35724.0,ETF,6451055,Hyundai Motor Co,2025-09-25,KRW,SOUTH KOREA,,,,108940768.33333333,XKRX,,154.00229
005385 KS Equity,2069.0,ETF,6451022,Hyundai Motor Co,2025-09-25,KRW,SOUTH KOREA,,,,15667025.469696969,XKRX,,117.31142
005387 KS Equity,7519.0,ETF,6148272,Hyundai Motor Co,2025-09-25,KRW,SOUTH KOREA,,,,14502476.606060605,XKRX,,119.36952
005490 KS Equity,17071.0,ETF,6693233,POSCO Holdings Inc,2025-09-25,KRW,SOUTH KOREA,PKX US Equity,49.665,7881778.446153847,74178487.27272727,XKRX,0.10625423537117196,199.42232
005830 KS Equity,8850.0,ETF,6155937,DB Insurance Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,19290464.060606062,XKRX,,99.14341
005930 KS Equity,1180966.0,ETF,6771720,Samsung Electronics Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,923593378.7878788,XKRX,,61.10413
005935 KS Equity,212449.0,ETF,6773812,Samsung Electronics Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,67751645.45454545,XKRX,,47.83297
006400 KS Equity,15443.0,ETF,6771645,Samsung SDI Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,76507474.0909091,XKRX,,149.38932
006800 KS Equity,64379.0,ETF,6249658,Mirae Asset Securities Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,44269741.666666664,XKRX,,14.47763
009150 KS Equity,12655.0,ETF,6771689,Samsung Electro-Mechanics Co L,2025-09-25,KRW,SOUTH KOREA,,,,52475638.484848484,XKRX,,141.9376
009540 KS Equity,11720.0,ETF,6446620,HD Korea Shipbuilding & Offsho,2025-09-25,KRW,SOUTH KOREA,,,,81944483.33333333,XKRX,,286.00425
010120 KS Equity,4329.0,ETF,6378217,LS Electric Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,37036064.696969695,XKRX,,197.6481
010130 KS Equity,1224.0,ETF,6495428,Korea Zinc Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,13320281.515151516,XKRX,,669.23576
010140 KS Equity,203789.0,ETF,6772217,Samsung Heavy Industries Co Lt,2025-09-25,KRW,SOUTH KOREA,,,,90848390.9090909,XKRX,,15.57765
010950 KS Equity,11194.0,ETF,6406055,S-Oil Corp,2025-09-25,KRW,SOUTH KOREA,,,,9452645.848484848,XKRX,,43.4329
011200 KS Equity,73812.0,ETF,6405869,HMM Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,29593400.454545453,XKRX,,14.93893
012330 KS Equity,16214.0,ETF,6449544,Hyundai Mobis Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,42034563.03030303,XKRX,,213.61608
012450 KS Equity,8426.0,ETF,6772671,Hanwha Aerospace Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,155227238.1818182,XKRX,,743.753
015760 KS Equity,72087.0,ETF,6495730,Korea Electric Power Corp,2025-09-25,KRW,SOUTH KOREA,KEP US Equity,13.26,8229303.415384616,118668782.12121212,XKRX,0.06934682625274556,25.54877
017670 KS Equity,14580.0,ETF,6224871,SK Telecom Co Ltd,2025-09-25,KRW,SOUTH KOREA,SKM US Equity,21.655,8333998.492307693,26640605.045454547,XKRX,0.31283067625859534,39.17478
018260 KS Equity,9873.0,ETF,BRS2KY0,Samsung SDS Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,28856728.40909091,XKRX,,117.38239
021240 KS Equity,17915.0,ETF,6173401,Coway Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,11677559.393939395,XKRX,,70.9688
024110 KS Equity,37236.0,ETF,6462972,Industrial Bank of Korea,2025-09-25,KRW,SOUTH KOREA,,,,13847331.787878787,XKRX,,13.8744
028260 KS Equity,23812.0,ETF,BSXN8K7,Samsung C&T Corp,2025-09-25,KRW,SOUTH KOREA,,,,50014972.42424242,XKRX,,135.05362
028300 KS Equity,34160.0,ETF,6517407,HLB Inc,2025-09-25,KRW,SOUTH KOREA,,,,16591361.43939394,XKOS,,28.13913
032640 KS Equity,30970.0,ETF,6290902,LG Uplus Corp,2025-09-25,KRW,SOUTH KOREA,,,,10604571.681818182,XKRX,,10.60274
032830 KS Equity,19658.0,ETF,B12C0T9,Samsung Life Insurance Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,30141006.484848484,XKRX,,106.59513
033780 KS Equity,25983.0,ETF,6175076,KT&G Corp,2025-09-25,KRW,SOUTH KOREA,,,,35641786.36363637,XKRX,,95.3111
034020 KS Equity,114809.0,ETF,6294670,Doosan Enerbility Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,356521166.6666667,XKRX,,45.42003
034220 KS Equity,107533.0,ETF,B01VZN9,LG Display Co Ltd,2025-09-25,KRW,SOUTH KOREA,LPL US Equity,5.23,2081236.926153846,24749163.893939395,XKRX,0.08409322169721871,10.14854
034730 KS Equity,9380.0,ETF,B39Z8L3,SK Inc,2025-09-25,KRW,SOUTH KOREA,,,,40465180.60606061,XKRX,,148.67963
035420 KS Equity,34850.0,ETF,6560393,NAVER Corp,2025-09-25,KRW,SOUTH KOREA,,,,210007065.45454547,XKRX,,180.26075
035720 KS Equity,78475.0,ETF,6194037,Kakao Corp,2025-09-25,KRW,SOUTH KOREA,,,,142285072.42424244,XKRX,,44.85228
042660 KS Equity,29955.0,ETF,6211732,Hanwha Ocean Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,232628682.57575756,XKRX,,77.7818
042700 KS Equity,11650.0,ETF,B0CSXQ8,Hanmi Semiconductor Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,47880919.09090909,XKRX,,66.78164
047050 KS Equity,13678.0,ETF,6344274,Posco International Corp,2025-09-25,KRW,SOUTH KOREA,,,,17764521.59090909,XKRX,,35.91021
047810 KS Equity,24015.0,ETF,B3N3363,Korea Aerospace Industries Ltd,2025-09-25,KRW,SOUTH KOREA,,,,51177565.45454545,XKRX,,77.71083
051900 KS Equity,2907.0,ETF,6344456,LG H&H Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,12006871.0,XKRX,,203.32561
051910 KS Equity,13192.0,ETF,6346913,LG Chem Ltd,2025-09-25,KRW,SOUTH KOREA,,,,63868131.81818182,XKRX,,207.58373
055550 KS Equity,98533.0,ETF,6397502,Shinhan Financial Group Co Ltd,2025-09-25,KRW,SOUTH KOREA,SHG US Equity,50.238,10385558.107692307,76677863.93939394,XKRX,0.13544401961824387,49.53622
064350 KS Equity,18505.0,ETF,BFPM3C8,Hyundai Rotem Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,133548671.21212122,XKRX,,155.06682
066570 KS Equity,28029.0,ETF,6520739,LG Electronics Inc,2025-09-25,KRW,SOUTH KOREA,,,,30302708.196969695,XKRX,,55.28469
068270 KS Equity,40684.0,ETF,B0C5YV1,Celltrion Inc,2025-09-25,KRW,SOUTH KOREA,,,,55785247.878787875,XKRX,,126.25349
071050 KS Equity,10500.0,ETF,6654586,Korea Investment Holdings Co L,2025-09-25,KRW,SOUTH KOREA,,,,28415099.303030305,XKRX,,104.32413
079550 KS Equity,3351.0,ETF,BZ0RDZ1,LIG Nex1 Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,62700293.63636363,XKRX,,350.58586
086280 KS Equity,11446.0,ETF,B0V3XR5,Hyundai Glovis Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,25010542.484848484,XKRX,,120.50502
086520 KS Equity,26419.0,ETF,B235ZT9,Ecopro Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,27345742.90909091,XKOS,,35.55537
086790 KS Equity,77599.0,ETF,B0RNRF5,Hana Financial Group Inc,2025-09-25,KRW,SOUTH KOREA,,,,56671279.696969695,XKRX,,63.09126
090430 KS Equity,8146.0,ETF,B15SK50,Amorepacific Corp,2025-09-25,KRW,SOUTH KOREA,,,,22338216.954545453,XKRX,,89.06584
096770 KS Equity,14723.0,ETF,B232R05,SK Innovation Co Ltd,2025-09-25,KRW,SOUTH KOREA,,,,32053531.954545453,XKRX,,73.52367
1 HK Equity,696516.0,ETF,BW9P816,CK Hutchison Holdings Ltd,2025-09-25,HKD,HONG KONG,CKHUY US Equity,6.51,793050.156923077,43350705.303030305,XHKG,0.01829382362707813,6.43802
1024 HK Equity,648200.0,ETF,BLC90T0,Kuaishou Technology,2025-09-25,HKD,CHINA,KSHTY US Equity,1.95,7414.886538461538,418402400.0,XHKG,1.7721902499750333e-05,10.04253
1038 HK Equity,153500.0,ETF,BYVS6J1,CK Infrastructure Holdings Ltd,2025-09-25,HKD,HONG KONG,CKISY US Equity,,3797.003414634147,11448924.348484848,XHKG,0.00033164717479652515,6.59222
1044 HK Equity,226500.0,ETF,6136233,Hengan International Group Co,2025-09-25,HKD,CHINA,HEGIY US Equity,16.255,411454.8456923077,9280180.287878787,XHKG,0.04433694528863036,3.21772
105560 KS Equity,93201.0,ETF,B3DF0Y6,KB Financial Group Inc,2025-09-25,KRW,SOUTH KOREA,KB US Equity,82.89,16506084.076923076,84869565.9090909,XKRX,0.19448766940323195,81.11734
1066 HK Equity,701200.0,ETF,6742340,Shandong Weigao Group Medical,2025-09-25,HKD,CHINA,SHWGY US Equity,2.92,1988.0766666666666,11581516.818181818,XHKG,0.00017165943786789532,0.72347
1088 HK Equity,665500.0,ETF,B09N7M0,China Shenhua Energy Co Ltd,2025-09-25,HKD,CHINA,CSUAY US Equity,19.24,114225.84923076922,77214113.93939394,XHKG,0.0014793389887297825,4.7392
1093 HK Equity,2059120.0,ETF,6191997,CSPC Pharmaceutical Group Ltd,2025-09-25,HKD,CHINA,CSPCY US Equity,4.68,143643.3010769231,217398319.84848484,XHKG,0.0006607378620820754,1.19508
1099 HK Equity,329600.0,ETF,B3ZVDV0,Sinopharm Group Co Ltd,2025-09-25,HKD,CHINA,SHTDY US Equity,11.756,211211.68692307692,13699678.424242424,XHKG,0.015417273339009538,2.36061
11 HK Equity,185500.0,ETF,6408374,Hang Seng Bank Ltd,2025-09-25,HKD,HONG KONG,HSNGY US Equity,15.16,83198.66276923077,31940183.484848484,XHKG,0.0026048273269531417,14.71363
1101 TT Equity,1655227.0,ETF,6869937,TCC Group Holdings Co Ltd,2025-09-25,TWD,TAIWAN,,,,23398368.166666668,XTAI,,0.78674
1102 TT Equity,754000.0,ETF,6056331,Asia Cement Corp,2025-09-25,TWD,TAIWAN,,,,12313514.910447761,XTAI,,1.21871
1109 HK Equity,829500.0,ETF,6193766,China Resources Land Ltd,2025-09-25,HKD,HONG KONG,CRBJY US Equity,38.74,1484.4716,64068690.303030305,XHKG,2.3170000712965846e-05,3.78314
1113 HK Equity,464516.0,ETF,BYZQ077,CK Asset Holdings Ltd,2025-09-25,HKD,HONG KONG,CNGKY US Equity,9.515,22429.922000000002,19543215.651515152,XHKG,0.0011477088724782634,4.65439
1171 HK Equity,717600.0,ETF,6109893,Yankuang Energy Group Co Ltd,2025-09-25,HKD,CHINA,YZCAY US Equity,13.15,14386.158,49648929.09090909,XHKG,0.0002897576697708503,1.30688
1177 HK Equity,2916000.0,ETF,B00XSF9,Sino Biopharmaceutical Ltd,2025-09-25,HKD,HONG KONG,SBHMY US Equity,20.16,6064.5650000000005,159171023.63636363,XHKG,3.810093609660315e-05,1.02931
1193 HK Equity,284000.0,ETF,6535517,China Resources Gas Group Ltd,2025-09-25,HKD,HONG KONG,CGASY US Equity,,533.7180000000001,17205576.424242426,XHKG,3.10200592435833e-05,2.51867
12 HK Equity,342003.0,ETF,6420538,Henderson Land Development Co,2025-09-25,HKD,HONG KONG,HLDCY US Equity,3.5,93610.65738461539,27673130.303030305,XHKG,0.0033827274457044238,3.47473
1208 HK Equity,1000800.0,ETF,6728793,MMG Ltd,2025-09-25,HKD,AUSTRALIA,,,,37826288.484848484,XHKG,,0.80315
1209 HK Equity,178000.0,ETF,BMXWXT6,China Resources Mixc Lifestyle,2025-09-25,HKD,CHINA,CRMLY US Equity,,,19673007.666666668,XHKG,,5.2198
1211 HK Equity,900000.0,ETF,6536651,BYD Co Ltd,2025-09-25,HKD,CHINA,BYDDY US Equity,13.8975,39137654.615384616,510443603.030303,XHKG,0.07667380761173173,13.90406
1216 TT Equity,1211600.0,ETF,6700393,Uni-President Enterprises Corp,2025-09-25,TWD,TAIWAN,,,,30744542.507462688,XTAI,,2.5721
1288 HK Equity,6538000.0,ETF,B60LZR6,Agricultural Bank of China Ltd,2025-09-25,HKD,CHINA,ACGBY US Equity,16.865,667081.5366153845,84870237.12121212,XHKG,0.007860017354053755,0.65922
1299 HK Equity,2688600.0,ETF,B4TX8S1,AIA Group Ltd,2025-09-25,HKD,HONG KONG,AAGIY US Equity,38.28,7650873.830769231,302423477.27272725,XHKG,0.02529854460958277,9.15586
1301 TT Equity,1057160.0,ETF,6348544,Formosa Plastics Corp,2025-09-25,TWD,TAIWAN,,,,30137830.05970149,XTAI,,1.27784
1303 TT Equity,1221830.0,ETF,6621580,Nan Ya Plastics Corp,2025-09-25,TWD,TAIWAN,,,,93078358.97014925,XTAI,,1.34354
1308 HK Equity,441000.0,ETF,B61X7R5,SITC International Holdings Co,2025-09-25,HKD,HONG KONG,SITIY US Equity,40.0,24890.904833333334,14907234.803030303,XHKG,0.001669719781181254,3.72917
1326 TT Equity,971000.0,ETF,6348715,Formosa Chemicals & Fibre Corp,2025-09-25,TWD,TAIWAN,,,,17223427.56716418,XTAI,,0.97563
1336 HK Equity,231500.0,ETF,B5730Z1,New China Life Insurance Co Lt,2025-09-25,HKD,CHINA,,,,105478089.0909091,XHKG,,5.41256
1339 HK Equity,2442000.0,ETF,B8RZJZ1,People's Insurance Co Group of,2025-09-25,HKD,CHINA,PINXY US Equity,,576.0497826086956,48788972.121212125,XHKG,1.1806966975601536e-05,0.81343
1347 HK Equity,182000.0,ETF,BRB3857,Hua Hong Semiconductor Ltd,2025-09-25,HKD,CHINA,,,,306181477.57575756,XHKG,,8.51335
135 HK Equity,1192000.0,ETF,6340078,Kunlun Energy Co Ltd,2025-09-25,HKD,HONG KONG,KLYCY US Equity,8.5945,2404.5607692307694,12021538.833333334,XHKG,0.00020002104577189413,0.9188
1357 HK Equity,979000.0,ETF,BYYNH90,Meitu Inc,2025-09-25,HKD,CHINA,MEIUY US Equity,,,151775215.3030303,XHKG,,1.16424
136 HK Equity,1608000.0,ETF,BMDMJ87,China Ruyi Holdings Ltd,2025-09-25,HKD,HONG KONG,,,,39593890.74242424,XHKG,,0.38808
1378 HK Equity,680500.0,ETF,B44ZV94,China Hongqiao Group Ltd,2025-09-25,HKD,CHINA,CHHQY US Equity,31.225,19378.29875,96489303.93939394,XHKG,0.00020083364641299245,3.1766
138040 KS Equity,23253.0,ETF,B4WRJD2,Meritz Financial Group Inc,2025-09-25,KRW,SOUTH KOREA,,,,21877883.62121212,XKRX,,81.54315
1398 HK Equity,16555260.0,ETF,B1G1QD8,Industrial & Commercial Bank o,2025-09-25,HKD,CHINA,IDCBY US Equity,14.685,698220.9461538462,171939211.36363637,XHKG,0.004060859303798772,0.72861
1402 TT Equity,778000.0,ETF,6331470,Far Eastern New Century Corp,2025-09-25,TWD,TAIWAN,,,,9453757.552238805,XTAI,,0.90828
144 HK Equity,444000.0,ETF,6416139,China Merchants Port Holdings,2025-09-25,HKD,HONG KONG,CMHHY US Equity,19.4,8216.322352941177,6379321.893939394,XHKG,0.0012879617127875308,1.889
1476 TT Equity,45000.0,ETF,6345783,Eclat Textile Co Ltd,2025-09-25,TWD,TAIWAN,,,,13924502.850746268,XTAI,,14.66724
151 HK Equity,1672000.0,ETF,B2Q14Z3,Want Want China Holdings Ltd,2025-09-25,HKD,HONG KONG,WWNTY US Equity,36.79,31503.7471875,4005880.393939394,XHKG,0.007864375390529104,0.68107
1519 HK Equity,584200.0,ETF,BRBTW19,J&T Global Express Ltd,2025-09-25,HKD,CHINA,JTGEY US Equity,,,59934408.92424242,XHKG,,1.29146
1519 TT Equity,50270.0,ETF,6347604,Fortune Electric Co Ltd,2025-09-25,TWD,TAIWAN,,,,85844780.4477612,XTAI,,19.21687
1530 HK Equity,456500.0,ETF,BY9D3L9,3SBio Inc,2025-09-25,HKD,CHINA,,,,189871030.15151516,XHKG,,3.94762
1548 HK Equity,390000.0,ETF,BD9Q2J2,Genscript Biotech Corp,2025-09-25,HKD,CHINA,,,,49888477.72727273,XHKG,,2.04063
1585 HK Equity,446000.0,ETF,BZ04KX9,Yadea Group Holdings Ltd,2025-09-25,HKD,CHINA,,,,17490454.12121212,XHKG,,1.79005
1590 TT Equity,35393.0,ETF,B52J816,Airtac International Group,2025-09-25,TWD,TAIWAN,,,,19327902.820895523,XTAI,,24.83411
16 HK Equity,381000.0,ETF,6859927,Sun Hung Kai Properties Ltd,2025-09-25,HKD,HONG KONG,SUHJY US Equity,12.017,591740.723076923,53084372.42424242,XHKG,0.011147173754788303,11.70023
1605 JP Equity,216900.0,ETF,B10RB15,Inpex Corp,2025-09-25,JPY,JAPAN,IPXHY US Equity,18.3,490969.21692307695,88712473.96825397,XTKS,0.005534387611586301,18.28983
161390 KS Equity,18903.0,ETF,B7T5KQ0,Hankook Tire & Technology Co L,2025-09-25,KRW,SOUTH KOREA,,,,10714341.696969697,XKRX,,27.32299
1658 HK Equity,1333000.0,ETF,BD8GL18,Postal Savings Bank of China C,2025-09-25,HKD,CHINA,PSTVY US Equity,14.9,11208.427,31207745.0,XHKG,0.0003591552994296768,0.68492
168 HK Equity,62000.0,ETF,6905808,Tsingtao Brewery Co Ltd,2025-09-25,HKD,CHINA,TSGTY US Equity,33.5,15848.172131147541,25880770.606060605,XHKG,0.0006123531780555372,6.65647
175 HK Equity,1593000.0,ETF,6531827,Geely Automobile Holdings Ltd,2025-09-25,HKD,HONG KONG,GELHY US Equity,47.95,692177.2507407407,172562219.84848484,XHKG,0.004011174933589139,2.37089
1766 HK Equity,1285000.0,ETF,B2R2ZC9,CRRC Corp Ltd,2025-09-25,HKD,CHINA,CRCCY US Equity,,126.45,16266353.303030303,XHKG,7.773715327850607e-06,0.76331
177 HK Equity,524000.0,ETF,6005504,Jiangsu Expressway Co Ltd,2025-09-25,HKD,CHINA,JEXYY US Equity,22.85,27193.660892857144,7788802.803030303,XHKG,0.003491378788313553,1.21564
1787 HK Equity,262250.0,ETF,BFD2096,Shandong Gold Mining Co Ltd,2025-09-25,HKD,CHINA,,,,66063994.54545455,XHKG,,4.63126
1801 HK Equity,351500.0,ETF,BGR6KX5,Innovent Biologics Inc,2025-09-25,HKD,CHINA,IVBIY US Equity,51.09,8262.880645161289,253874206.06060606,XHKG,3.254714519201188e-05,12.21424
1801 JP Equity,38100.0,ETF,6870100,Taisei Corp,2025-09-25,JPY,JAPAN,TISCY US Equity,17.225,40830.77207547171,43972901.428571425,XTKS,0.0009285439611438031,67.85261
1802 JP Equity,176300.0,ETF,6656407,Obayashi Corp,2025-09-25,JPY,JAPAN,OBYSY US Equity,,,37858121.9047619,XTKS,,16.24725
180640 KS Equity,6952.0,ETF,BCGD8Q8,Hanjin Kal Corp,2025-09-25,KRW,SOUTH KOREA,,,,6128633.424242424,XKRX,,72.03333
1810 HK Equity,4316200.0,ETF,BG0ZMJ9,Xiaomi Corp,2025-09-25,HKD,CHINA,XIACY US Equity,34.52,20007318.10769231,1009812709.0909091,XHKG,0.019812899884874727,7.63952
1812 JP Equity,117000.0,ETF,6481320,Kajima Corp,2025-09-25,JPY,JAPAN,KAJMY US Equity,27.31,2833.0622000000003,39876400.952380955,XTKS,7.104608571328057e-05,29.22368
1816 HK Equity,3853000.0,ETF,BSBMM04,CGN Power Co Ltd,2025-09-25,HKD,CHINA,,,,22153498.53030303,XHKG,,0.36366
1818 HK Equity,444500.0,ETF,B1H5082,Zhaojin Mining Industry Co Ltd,2025-09-25,HKD,CHINA,ZHAOY US Equity,,,44548851.06060606,XHKG,,3.778
1878 JP Equity,63500.0,ETF,6250508,Daito Trust Construction Co Lt,2025-09-25,JPY,JAPAN,DIFTY US Equity,34.99,371848.9910769231,24339263.015873015,XTKS,0.015277742421141481,108.43736
1882 HK Equity,196000.0,ETF,B1L2RC2,Haitian International Holdings,2025-09-25,HKD,CHINA,,,,6196008.515151516,XHKG,,2.75511
1898 HK Equity,695000.0,ETF,B1JNK84,China Coal Energy Co Ltd,2025-09-25,HKD,CHINA,CCOZY US Equity,24.625,2175.552105263158,27967920.0,XHKG,7.778741162242876e-05,1.20536
19 HK Equity,105500.0,ETF,6867748,Swire Pacific Ltd,2025-09-25,HKD,HONG KONG,SWRAY US Equity,8.52,255505.97584615383,8757601.333333334,XHKG,0.029175337643384446,8.5776
1919 HK Equity,725800.0,ETF,B0B8Z18,COSCO SHIPPING Holdings Co Ltd,2025-09-25,HKD,CHINA,CICOY US Equity,7.71,56911.77538461539,50681735.0,XHKG,0.0011229247653935957,1.57417
1925 JP Equity,141000.0,ETF,6251363,Daiwa House Industry Co Ltd,2025-09-25,JPY,JAPAN,DWAHY US Equity,36.775,705087.9076923077,48637237.46031746,XTKS,0.014496874092974142,36.09906
1928 HK Equity,660800.0,ETF,B5B23W2,Sands China Ltd,2025-09-25,HKD,MACAU,SCHYY US Equity,28.75,349767.14569230773,52787030.15151515,XHKG,0.006626005378373581,2.74226
